Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Termica Milazzo;2015-09-11 00:00:00;0;Benzene;0,04845598;80400000;23:42;0,02950012;23:12;0,07258329;0,01604623;4;2;FALSE
Termica Milazzo;2015-09-11 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termica Milazzo;2015-09-11 01:00:00;1;Benzene;0,04621757;80400000;00:27;0,03683472;00:12;0,07170359;0,01472514;4;2;FALSE
Termica Milazzo;2015-09-11 01:00:00;1;Benzene;0,04621757;80400000;00:27;0,03683472;00:12;0,07170359;0,01472514;4;2;TRUE
Termica Milazzo;2015-09-11 02:00:00;2;Benzene;0,06193835;80400000;01:27;0,04787222;01:42;0,08157255;0,01396951;4;2;FALSE
Termica Milazzo;2015-09-11 02:00:00;2;Benzene;0,06193835;80400000;01:27;0,04787222;01:42;0,08157255;0,01396951;4;2;TRUE
Termica Milazzo;2015-09-11 03:00:00;3;Benzene;0,04141631;80400000;02:42;0;02:12;0,09146084;0,03333116;4;2;FALSE
Termica Milazzo;2015-09-11 03:00:00;3;Benzene;0,04141631;80400000;02:42;0;02:12;0,09146084;0,03333116;4;2;TRUE
Termica Milazzo;2015-09-11 04:00:00;4;Benzene;0,10846102;80400000;03:12;0;03:42;0,35115179;0,14117282;4;2;FALSE
Termica Milazzo;2015-09-11 04:00:00;4;Benzene;0,10846102;80400000;03:12;0;03:42;0,35115179;0,14117282;4;2;TRUE
Termica Milazzo;2015-09-11 05:00:00;5;Benzene;0,03362609;80400000;04:27;0,0281831;04:42;0,03864193;0,00446056;4;2;FALSE
Termica Milazzo;2015-09-11 05:00:00;5;Benzene;0,03362609;80400000;04:27;0,0281831;04:42;0,03864193;0,00446056;4;2;TRUE
Termica Milazzo;2015-09-11 06:00:00;6;Benzene;0,04360591;80400000;05:42;0,03689371;05:12;0,05956366;0,00926182;4;2;FALSE
Termica Milazzo;2015-09-11 06:00:00;6;Benzene;0,04360591;80400000;05:42;0,03689371;05:12;0,05956366;0,00926182;4;2;TRUE
Termica Milazzo;2015-09-11 07:00:00;7;Benzene;0,21038476;80400000;06:42;0,08621516;06:57;0,33684871;0,08912581;4;2;FALSE
Termica Milazzo;2015-09-11 07:00:00;7;Benzene;0,21038476;80400000;06:42;0,08621516;06:57;0,33684871;0,08912581;4;2;TRUE
Termica Milazzo;2015-09-11 08:00:00;8;Benzene;0,17583116;80400000;07:57;0,08823289;07:42;0,29704129;0,08144645;4;2;FALSE
Termica Milazzo;2015-09-11 08:00:00;8;Benzene;0,17583116;80400000;07:57;0,08823289;07:42;0,29704129;0,08144645;4;2;TRUE
Termica Milazzo;2015-09-11 09:00:00;9;Benzene;0,1446113;80400000;08:57;0,05112561;08:27;0,23651759;0,07249583;4;2;FALSE
Termica Milazzo;2015-09-11 09:00:00;9;Benzene;0,1446113;80400000;08:57;0,05112561;08:27;0,23651759;0,07249583;4;2;TRUE
Termica Milazzo;2015-09-11 10:00:00;10;Benzene;0,09591937;80400000;09:27;0,07875038;09:42;0,10930818;0,01100394;4;2;FALSE
Termica Milazzo;2015-09-11 10:00:00;10;Benzene;0,09591937;80400000;09:27;0,07875038;09:42;0,10930818;0,01100394;4;2;TRUE
Termica Milazzo;2015-09-11 11:00:00;11;Benzene;0,1279325;80400000;10:42;0,06138714;10:27;0,241747;0,06832715;4;2;FALSE
Termica Milazzo;2015-09-11 11:00:00;11;Benzene;0,1279325;80400000;10:42;0,06138714;10:27;0,241747;0,06832715;4;2;TRUE
Termica Milazzo;2015-09-11 12:00:00;12;Benzene;0,07847477;80400000;11:42;0,05666012;11:57;0,10217087;0,01626692;4;2;FALSE
Termica Milazzo;2015-09-11 12:00:00;12;Benzene;0,07847477;80400000;11:42;0,05666012;11:57;0,10217087;0,01626692;4;2;TRUE
Termica Milazzo;2015-09-11 13:00:00;13;Benzene;0,10272209;80400000;12:42;0,079266;12:57;0,13141776;0,01871585;4;2;FALSE
Termica Milazzo;2015-09-11 13:00:00;13;Benzene;0,10272209;80400000;12:42;0,079266;12:57;0,13141776;0,01871585;4;2;TRUE
Termica Milazzo;2015-09-11 14:00:00;14;Benzene;0,06544904;80400000;13:12;0,03919721;13:42;0,09450167;0,02267707;4;2;FALSE
Termica Milazzo;2015-09-11 14:00:00;14;Benzene;0,06544904;80400000;13:12;0,03919721;13:42;0,09450167;0,02267707;4;2;TRUE
Termica Milazzo;2015-09-11 15:00:00;15;Benzene;0,03956028;80400000;14:27;0,03005744;14:42;0,04916585;0,00708849;4;2;FALSE
