Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Termica Milazzo;2015-08-27 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termica Milazzo;2015-08-27 01:00:00;1;Benzene;0,05000996;80400000;00:11;0,0280753;00:41;0,06609788;0,01384951;4;1;FALSE
Termica Milazzo;2015-08-27 02:00:00;2;Benzene;0,04506836;80400000;01:26;0,02617148;01:11;0,06470663;0,01508923;4;1;FALSE
Termica Milazzo;2015-08-27 03:00:00;3;Benzene;0,06109831;80400000;02:41;0,04748576;02:26;0,09169475;0,017947;4;1;FALSE
Termica Milazzo;2015-08-27 04:00:00;4;Benzene;0,04576602;80400000;03:41;0,02710203;03:26;0,07528546;0,01857652;4;1;FALSE
Termica Milazzo;2015-08-27 05:00:00;5;Benzene;0,07382912;80400000;04:41;0,03991013;04:57;0,10899291;0,03298741;4;1;FALSE
Termica Milazzo;2015-08-27 06:00:00;6;Benzene;1,71898425;80400000;05:56;0,71147896;05:41;3,15052972;0,9768702;4;1;FALSE
Termica Milazzo;2015-08-27 07:00:00;7;Benzene;0,13724415;80400000;06:41;0,09417013;06:57;0,20533739;0,04124749;4;1;FALSE
Termica Milazzo;2015-08-27 08:00:00;8;Benzene;0,1556905;80400000;07:56;0,08699723;07:26;0,2443973;0,065507;4;1;FALSE
Termica Milazzo;2015-08-27 09:00:00;9;Benzene;0,34964358;80400000;08:41;0,19518264;08:56;0,61495651;0,16391498;4;1;FALSE
Termica Milazzo;2015-08-27 10:00:00;10;Benzene;0,06362555;80400000;09:41;0,03517701;09:56;0,08700333;0,02013355;4;1;FALSE
Termica Milazzo;2015-08-27 11:00:00;11;Benzene;0,10595004;80400000;10:56;0,04060779;10:26;0,16521877;0,0444785;4;1;FALSE
Termica Milazzo;2015-08-27 12:00:00;12;Benzene;0,10100946;80400000;11:27;0,07195072;11:56;0,16743786;0,03858701;4;1;FALSE
Termica Milazzo;2015-08-27 13:00:00;13;Benzene;0,1353983;80400000;12:56;0,0670742;12:11;0,21141701;0,05132697;4;1;FALSE
Termica Milazzo;2015-08-27 14:00:00;14;Benzene;0,06371708;80400000;13:11;0,04807664;13:41;0,08131017;0,01348949;4;1;FALSE
Termica Milazzo;2015-08-27 15:00:00;15;Benzene;0,05490885;80400000;14:26;0,03439494;14:57;0,09738487;0,02491853;4;1;FALSE
Termica Milazzo;2015-08-27 16:00:00;16;Benzene;0,12500049;80400000;15:57;0,05968366;15:26;0,20715375;0,05653096;4;1;FALSE
Termica Milazzo;2015-08-27 17:00:00;17;Benzene;0,09667805;80400000;16:27;0,04925738;16:41;0,17206115;0,04611383;4;1;FALSE
Termica Milazzo;2015-08-27 18:00:00;18;Benzene;0,16207827;80400000;17:57;0,08487882;17:26;0,24726219;0,05755305;4;1;FALSE
Termica Milazzo;2015-08-27 19:00:00;19;Benzene;0,15353954;80400000;18:11;0,05686454;18:41;0,23041457;0,06230549;4;1;FALSE
Termica Milazzo;2015-08-27 20:00:00;20;Benzene;0,45906872;80400000;19:41;0,19132821;19:12;0,89337653;0,26232498;4;1;FALSE
Termica Milazzo;2015-08-27 21:00:00;21;Benzene;0,67853121;80400000;20:56;0,64288333;20:11;0,73390991;0,03592654;4;1;FALSE
Termica Milazzo;2015-08-27 22:00:00;22;Benzene;0,42588909;80400000;21:56;0,32452979;21:11;0,58222538;0,09615227;4;1;FALSE
Termica Milazzo;2015-08-27 23:00:00;23;Benzene;0,29403707;80400000;22:41;0,16280238;22:56;0,38837298;0,09293143;4;1;FALSE
Termica Milazzo;2015-08-28 00:00:00;0;Benzene;0,13005498;80400000;23:41;0,03844463;23:12;0,25046778;0,08549207;4;2;FALSE
Termica Milazzo;2015-08-28 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termica Milazzo;2015-08-28 01:00:00;1;Benzene;0,12505541;80400000;00:41;0,06325638;00:11;0,2152389;0,05844191;4;2;FALSE
Termica Milazzo;2015-08-28 01:00:00;1;Benzene;0,12505541;80400000;00:41;0,06325638;00:11;0,2152389;0,05844191;4;2;TRUE
Termica Milazzo;2015-08-28 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termica Milazzo;2015-08-28 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termica Milazzo;2015-08-28 03:00:00;3;Benzene;0,08636466;81400000;02:56;0,05107069;02:26;0,14544219;0,04203871;3;2;FALSE
Termica Milazzo;2015-08-28 03:00:00;3;Benzene;0,08636466;81400000;02:56;0,05107069;02:26;0,14544219;0,04203871;3;2;TRUE
Termica Milazzo;2015-08-28 04:00:00;4;Benzene;0,06462832;80400000;03:41;0,03832056;03:11;0,09240259;0,02291098;4;2;FALSE
Termica Milazzo;2015-08-28 04:00:00;4;Benzene;0,06462832;80400000;03:41;0,03832056;03:11;0,09240259;0,02291098;4;2;TRUE
Termica Milazzo;2015-08-28 05:00:00;5;Benzene;0,07676519;80400000;04:27;0,03362304;04:41;0,12698567;0,03757815;4;2;FALSE
Termica Milazzo;2015-08-28 05:00:00;5;Benzene;0,07676519;80400000;04:27;0,03362304;04:41;0,12698567;0,03757815;4;2;TRUE
Termica Milazzo;2015-08-28 06:00:00;6;Benzene;0,08260176;80400000;05:11;0,04296317;05:57;0,12889356;0,03076222;4;2;FALSE
Termica Milazzo;2015-08-28 06:00:00;6;Benzene;0,08260176;80400000;05:11;0,04296317;05:57;0,12889356;0,03076222;4;2;TRUE
Termica Milazzo;2015-08-28 07:00:00;7;Benzene;0,22099003;80400000;06:11;0,16569269;06:57;0,37997357;0,09182493;4;2;FALSE
Termica Milazzo;2015-08-28 07:00:00;7;Benzene;0,22099003;80400000;06:11;0,16569269;06:57;0,37997357;0,09182493;4;2;TRUE
Termica Milazzo;2015-08-28 08:00:00;8;Benzene;0,17195741;80400000;07:57;0,07158765;07:11;0,23845396;0,06979976;4;2;FALSE
Termica Milazzo;2015-08-28 08:00:00;8;Benzene;0,17195741;80400000;07:57;0,07158765;07:11;0,23845396;0,06979976;4;2;TRUE
Termica Milazzo;2015-08-28 09:00:00;9;Benzene;0,10586563;80400000;08:11;0,05250771;08:57;0,1846455;0,05174496;4;2;FALSE
Termica Milazzo;2015-08-28 09:00:00;9;Benzene;0,10586563;80400000;08:11;0,05250771;08:57;0,1846455;0,05174496;4;2;TRUE
Termica Milazzo;2015-08-28 10:00:00;10;Benzene;0,2346097;80400000;09:57;0,17561658;09:27;0,30034451;0,04826479;4;2;FALSE
Termica Milazzo;2015-08-28 10:00:00;10;Benzene;0,2346097;80400000;09:57;0,17561658;09:27;0,30034451;0,04826479;4;2;TRUE
Termica Milazzo;2015-08-28 11:00:00;11;Benzene;0,21561824;80400000;10:42;0,13392873;10:11;0,29497475;0,05890871;4;2;FALSE
Termica Milazzo;2015-08-28 11:00:00;11;Benzene;0,21561824;80400000;10:42;0,13392873;10:11;0,29497475;0,05890871;4;2;TRUE
Termica Milazzo;2015-08-28 12:00:00;12;Benzene;0,16350309;80400000;11:11;0,09534477;11:42;0,23271503;0,0553665;4;2;FALSE
Termica Milazzo;2015-08-28 12:00:00;12;Benzene;0,16350309;80400000;11:11;0,09534477;11:42;0,23271503;0,0553665;4;2;TRUE
Termica Milazzo;2015-08-28 13:00:00;13;Benzene;0,12926273;80400000;12:57;0,06901464;12:42;0,18231556;0,04621045;4;2;FALSE
Termica Milazzo;2015-08-28 13:00:00;13;Benzene;0,12926273;80400000;12:57;0,06901464;12:42;0,18231556;0,04621045;4;2;TRUE
