Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Termica Milazzo;2015-08-27 00:00:00;0;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Termica Milazzo;2015-08-27 01:00:00;1;CO;0,03525024;80400000;00:55;0;00:56;0,32231661;0,05919424;720;FALSE
Termica Milazzo;2015-08-27 02:00:00;2;CO;0,22915576;80400000;01:20;0;01:30;0,40246594;0,13609186;720;FALSE
Termica Milazzo;2015-08-27 03:00:00;3;CO;0,18653544;80400000;03:00;0;02:15;0,41964138;0,14474557;720;FALSE
Termica Milazzo;2015-08-27 04:00:00;4;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Termica Milazzo;2015-08-27 05:00:00;5;CO;0,04324754;80400000;04:54;0;04:32;0,21908293;0,05715024;720;FALSE
Termica Milazzo;2015-08-27 06:00:00;6;CO;0,11033045;80400000;05:34;0;05:17;0,23630392;0,05250861;720;FALSE
Termica Milazzo;2015-08-27 07:00:00;7;CO;0,22587018;80400000;06:21;0;06:59;0,68977758;0,16216979;720;FALSE
Termica Milazzo;2015-08-27 08:00:00;8;CO;0,30645283;80400000;07:35;0,09279994;07:00;0,6266355;0,06892134;720;FALSE
Termica Milazzo;2015-08-27 09:00:00;9;CO;0,29949389;80400000;08:52;0,21334338;08:38;0,42572899;0,03791094;720;FALSE
Termica Milazzo;2015-08-27 10:00:00;10;CO;0,26815411;80400000;09:32;0,17890256;09:47;0,36832763;0,03003629;720;FALSE
Termica Milazzo;2015-08-27 11:00:00;11;CO;0,26993181;80400000;10:41;0,18464211;10:10;0,35684736;0,02818734;720;FALSE
Termica Milazzo;2015-08-27 12:00:00;12;CO;0,27282611;80400000;11:53;0,18464211;11:26;0,38554862;0,03024886;720;FALSE
Termica Milazzo;2015-08-27 13:00:00;13;CO;0,2804076;80400000;12:28;0,19612238;12:20;0,40276845;0,03160725;720;FALSE
Termica Milazzo;2015-08-27 14:00:00;14;CO;0,27806342;80400000;13:08;0,2018631;13:55;0,36258691;0,02555467;720;FALSE
