Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Termica Milazzo;2015-08-27 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termica Milazzo;2015-08-27 01:00:00;1;NO2;12,80983596;80400000;00:58;8,38800901;00:46;21,4360056;2,40766114;720;1;FALSE
Termica Milazzo;2015-08-27 02:00:00;2;NO2;10,30508346;80400000;01:36;5,59200537;01:41;15,84401553;1,41287814;720;1;FALSE
Termica Milazzo;2015-08-27 03:00:00;3;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termica Milazzo;2015-08-27 04:00:00;4;NO2;16,97536122;80400000;03:59;13,98001438;03:13;20,50402032;1,12607431;720;1;FALSE
Termica Milazzo;2015-08-27 05:00:00;5;NO2;14,01496382;80400000;04:40;10,25201016;04:01;18,64001917;1,4703433;720;1;FALSE
Termica Milazzo;2015-08-27 06:00:00;6;NO2;15,2252713;80400000;05:25;10,25201016;05:58;22,36801;2,29837122;720;1;FALSE
Termica Milazzo;2015-08-27 07:00:00;7;NO2;22,815896;80400000;06:37;11,18401265;06:58;41,94002592;2,94144948;720;1;FALSE
Termica Milazzo;2015-08-27 08:00:00;8;NO2;27,35033784;80400000;07:38;18,64001917;07:24;37,28000392;5,0716909;720;1;FALSE
Termica Milazzo;2015-08-27 09:00:00;9;NO2;29,41757312;80400000;08:55;12,11601322;08:27;47,5320332;9,31852396;720;1;FALSE
Termica Milazzo;2015-08-27 10:00:00;10;NO2;14,58452186;80400000;09:37;9,32000958;09:08;20,50402032;2,31235368;720;1;FALSE
Termica Milazzo;2015-08-27 11:00:00;11;NO2;14,31009823;80400000;10:48;10,25201016;10:56;17,7080205;1,36599972;720;1;FALSE
Termica Milazzo;2015-08-27 12:00:00;12;NO2;14,91072053;80400000;11:10;10,25201016;11:34;22,36801;2,12784186;720;1;FALSE
Termica Milazzo;2015-08-27 13:00:00;13;NO2;12,10177456;80400000;12:48;8,38800901;12:16;21,4360056;2,13741142;720;1;FALSE
Termica Milazzo;2015-08-27 14:00:00;14;NO2;11,74191895;80400000;13:45;6,52400786;13:17;15,84401553;1,52709528;720;1;FALSE
Termica Milazzo;2015-08-27 15:00:00;15;NO2;10,74390084;80400000;14:29;5,59200537;14:04;14,91201495;1,6163092;720;1;FALSE
Termica Milazzo;2015-08-27 16:00:00;16;NO2;11,59823406;80400000;15:50;6,52400786;15:12;17,7080205;2,3226823;720;1;FALSE
Termica Milazzo;2015-08-27 17:00:00;17;NO2;13,81562062;80400000;16:24;8,38800901;16:43;19,57201592;2,06616838;720;1;FALSE
