Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Termica Milazzo;2015-08-27 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Termica Milazzo;2015-08-27 01:00:00;1;O3;51,2018745;80400000;00:43;35,56408695;00:16;58,4615199;3,76661387;720;FALSE
Termica Milazzo;2015-08-27 02:00:00;2;O3;54,36245325;80400000;01:38;48,23074095;01:52;60,41025585;2,40819044;720;FALSE
Termica Milazzo;2015-08-27 03:00:00;3;O3;56,8308069;80400000;02:07;49,2051189;02:42;61,87179285;1,97350986;720;FALSE
Termica Milazzo;2015-08-27 04:00:00;4;O3;52,0544178;80400000;03:53;43,3589709;03:03;58,4615199;2,94233373;720;FALSE
Termica Milazzo;2015-08-27 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Termica Milazzo;2015-08-27 06:00:00;6;O3;49,3485594;80400000;05:59;33,61537095;05:03;61,87179285;6,32457494;720;FALSE
Termica Milazzo;2015-08-27 07:00:00;7;O3;39,72609585;80400000;06:58;32,15383395;06:53;46,2820449;2,58076193;720;FALSE
Termica Milazzo;2015-08-27 08:00:00;8;O3;46,62915495;80400000;07:11;29,71793895;07:59;68,69229885;10,90314981;720;FALSE
Termica Milazzo;2015-08-27 09:00:00;9;O3;64,0451259;80400000;08:27;45,3076869;08:56;80,3846148;7,43234657;720;FALSE
Termica Milazzo;2015-08-27 10:00:00;10;O3;77,70036225;80400000;09:02;69,66665685;09:48;84,7692258;2,72109023;720;FALSE
Termica Milazzo;2015-08-27 11:00:00;11;O3;82,5721722;80400000;10:39;76,48716285;10:59;89,64099585;2,31652019;720;FALSE
Termica Milazzo;2015-08-27 12:00:00;12;O3;82,8692277;80400000;11:52;73,07690985;11:37;92,5640898;3,8997462;720;FALSE
Termica Milazzo;2015-08-27 13:00:00;13;O3;88,69576485;80400000;12:40;78,9230778;12:51;98,4102378;3,61798038;720;FALSE
Termica Milazzo;2015-08-27 14:00:00;14;O3;95,69422485;80400000;13:16;88,1794788;13:38;101,8204908;2,57045775;720;FALSE
Termica Milazzo;2015-08-27 15:00:00;15;O3;95,8437501;80400000;14:36;87,2051208;14:30;105,71794275;3,5779926;720;FALSE
Termica Milazzo;2015-08-27 16:00:00;16;O3;96,3674775;80400000;15:01;85,7435838;15:37;106,69230075;4,60814676;720;FALSE
Termica Milazzo;2015-08-27 17:00:00;17;O3;107,3892141;80400000;16:01;94,5128058;16:55;118,87177575;4,9976765;720;FALSE
Termica Milazzo;2015-08-27 18:00:00;18;O3;101,25616515;80400000;17:41;85,25638485;17:00;114,9743238;4,89777687;720;FALSE
Termica Milazzo;2015-08-27 19:00:00;19;O3;92,1134592;80400000;18:34;78,43587885;18:13;104,25640575;5,75901239;720;FALSE
Termica Milazzo;2015-08-27 20:00:00;20;O3;67,2395598;80400000;19:34;34,589709;19:00;85,7435838;10,79113854;720;FALSE
Termica Milazzo;2015-08-27 21:00:00;21;O3;48,3505008;80400000;20:21;20,46153795;20:00;69,17947785;8,69007038;720;FALSE
Termica Milazzo;2015-08-27 22:00:00;22;O3;47,7286992;80400000;21:59;36,05126595;21:11;59,43585795;5,00422608;720;FALSE
Termica Milazzo;2015-08-27 23:00:00;23;O3;38,7618924;80400000;22:37;28,74358095;22:15;45,3076869;2,97188766;720;FALSE
Termica Milazzo;2015-08-28 00:00:00;0;O3;52,0490313;80400000;23:14;30,69229695;23:27;65,28204585;7,79430939;720;FALSE
Termica Milazzo;2015-08-28 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Termica Milazzo;2015-08-28 01:00:00;1;O3;45,7644222;80400000;00:25;33,61537095;00:46;56,9999829;5,13707114;720;FALSE
Termica Milazzo;2015-08-28 01:00:00;1;O3;45,7644222;80400000;00:25;33,61537095;00:46;56,9999829;5,13707114;720;TRUE
Termica Milazzo;2015-08-28 02:00:00;2;O3;56,4576222;80400000;01:10;49,6922979;01:57;64,3076679;2,94431277;715;FALSE
Termica Milazzo;2015-08-28 02:00:00;2;O3;56,4576222;80400000;01:10;49,6922979;01:57;64,3076679;2,94431277;715;TRUE
Termica Milazzo;2015-08-28 03:00:00;3;O3;59,74240965;80400000;02:59;49,2051189;02:39;65,28204585;2,7494711;720;FALSE
Termica Milazzo;2015-08-28 03:00:00;3;O3;59,74240965;80400000;02:59;49,2051189;02:39;65,28204585;2,7494711;720;TRUE
Termica Milazzo;2015-08-28 04:00:00;4;O3;55,19337075;80400000;03:12;43,3589709;03:47;63,82050885;5,54103869;720;FALSE
Termica Milazzo;2015-08-28 04:00:00;4;O3;55,19337075;80400000;03:12;43,3589709;03:47;63,82050885;5,54103869;720;TRUE
Termica Milazzo;2015-08-28 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Termica Milazzo;2015-08-28 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;TRUE
Termica Milazzo;2015-08-28 06:00:00;6;O3;56,48641005;80400000;05:49;49,2051189;05:35;61,38461385;2,03370101;720;FALSE
Termica Milazzo;2015-08-28 06:00:00;6;O3;56,48641005;80400000;05:49;49,2051189;05:35;61,38461385;2,03370101;720;TRUE
Termica Milazzo;2015-08-28 07:00:00;7;O3;48,45066975;80400000;06:08;37,999962;06:56;57,4871619;3,28825077;720;FALSE
Termica Milazzo;2015-08-28 07:00:00;7;O3;48,45066975;80400000;06:08;37,999962;06:56;57,4871619;3,28825077;720;TRUE
Termica Milazzo;2015-08-28 08:00:00;8;O3;52,9611453;80400000;07:18;42,3846129;07:57;71,1281739;7,03733457;720;FALSE
Termica Milazzo;2015-08-28 08:00:00;8;O3;52,9611453;80400000;07:18;42,3846129;07:57;71,1281739;7,03733457;720;TRUE
Termica Milazzo;2015-08-28 09:00:00;9;O3;82,13169615;80400000;08:00;66,25640385;08:15;93,05124885;4,36684952;720;FALSE
Termica Milazzo;2015-08-28 09:00:00;9;O3;82,13169615;80400000;08:00;66,25640385;08:15;93,05124885;4,36684952;720;TRUE
Termica Milazzo;2015-08-28 10:00:00;10;O3;81,60050745;80400000;09:55;69,66665685;09:06;90,6153738;3,76748768;720;FALSE
Termica Milazzo;2015-08-28 10:00:00;10;O3;81,60050745;80400000;09:55;69,66665685;09:06;90,6153738;3,76748768;720;TRUE
