Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Termica Milazzo;2015-08-27 00:00:00;0;PM10;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termica Milazzo;2015-08-27 01:00:00;1;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 02:00:00;2;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 03:00:00;3;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 04:00:00;4;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 05:00:00;5;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 06:00:00;6;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 07:00:00;7;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 08:00:00;8;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 09:00:00;9;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 10:00:00;10;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 11:00:00;11;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 12:00:00;12;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 13:00:00;13;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 14:00:00;14;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 15:00:00;15;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 16:00:00;16;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 17:00:00;17;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 18:00:00;18;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 19:00:00;19;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 20:00:00;20;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 21:00:00;21;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 22:00:00;22;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-27 23:00:00;23;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;1;FALSE
Termica Milazzo;2015-08-28 00:00:00;0;PM10;21,2999897;80000000;05:00;21,2999897;05:00;21,2999897;0;720;2;FALSE
Termica Milazzo;2015-08-28 00:00:00;0;PM10;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termica Milazzo;2015-08-28 01:00:00;1;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 01:00:00;1;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 02:00:00;2;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 02:00:00;2;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 03:00:00;3;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 03:00:00;3;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 04:00:00;4;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 04:00:00;4;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 05:00:00;5;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 05:00:00;5;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 06:00:00;6;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 06:00:00;6;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 07:00:00;7;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 07:00:00;7;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 08:00:00;8;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 08:00:00;8;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 09:00:00;9;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 09:00:00;9;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 10:00:00;10;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 10:00:00;10;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 11:00:00;11;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 11:00:00;11;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 12:00:00;12;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 12:00:00;12;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 13:00:00;13;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 13:00:00;13;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 14:00:00;14;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 14:00:00;14;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 15:00:00;15;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 15:00:00;15;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 16:00:00;16;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 16:00:00;16;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 17:00:00;17;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 17:00:00;17;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 18:00:00;18;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 18:00:00;18;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 19:00:00;19;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 19:00:00;19;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 20:00:00;20;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 20:00:00;20;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 21:00:00;21;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 21:00:00;21;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 22:00:00;22;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 22:00:00;22;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-28 23:00:00;23;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-28 23:00:00;23;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 00:00:00;0;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;3;FALSE
Termica Milazzo;2015-08-29 00:00:00;0;PM10;22,60000038;80000000;05:00;22,60000038;05:00;22,60000038;0;720;3;TRUE
Termica Milazzo;2015-08-29 00:00:00;0;PM10;NA;NA;;NA;;NA;NA;NA;3;FALSE
Termica Milazzo;2015-08-29 01:00:00;1;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 01:00:00;1;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 02:00:00;2;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 02:00:00;2;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 03:00:00;3;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 03:00:00;3;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 04:00:00;4;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 04:00:00;4;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 05:00:00;5;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 05:00:00;5;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 06:00:00;6;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 06:00:00;6;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 07:00:00;7;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 07:00:00;7;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 08:00:00;8;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 08:00:00;8;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 09:00:00;9;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 09:00:00;9;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 10:00:00;10;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 10:00:00;10;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 11:00:00;11;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 11:00:00;11;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 12:00:00;12;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 12:00:00;12;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 13:00:00;13;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 13:00:00;13;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 14:00:00;14;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 14:00:00;14;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 15:00:00;15;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 15:00:00;15;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 16:00:00;16;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 16:00:00;16;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 17:00:00;17;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 17:00:00;17;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 18:00:00;18;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 18:00:00;18;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 19:00:00;19;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 19:00:00;19;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 20:00:00;20;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 20:00:00;20;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 21:00:00;21;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 21:00:00;21;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 22:00:00;22;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 22:00:00;22;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-29 23:00:00;23;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;FALSE
Termica Milazzo;2015-08-29 23:00:00;23;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;2;TRUE
Termica Milazzo;2015-08-30 00:00:00;0;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;3;FALSE
Termica Milazzo;2015-08-30 00:00:00;0;PM10;21,60000038;80000000;05:00;21,60000038;05:00;21,60000038;0;720;3;TRUE
Termica Milazzo;2015-08-30 00:00:00;0;PM10;NA;NA;;NA;;NA;NA;NA;3;FALSE
Termica Milazzo;2015-08-30 01:00:00;1;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 01:00:00;1;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 02:00:00;2;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 02:00:00;2;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 03:00:00;3;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 03:00:00;3;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 04:00:00;4;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 04:00:00;4;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 05:00:00;5;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 05:00:00;5;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 06:00:00;6;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 06:00:00;6;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 07:00:00;7;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 07:00:00;7;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 08:00:00;8;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 08:00:00;8;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 09:00:00;9;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 09:00:00;9;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 10:00:00;10;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 10:00:00;10;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 11:00:00;11;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 11:00:00;11;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 12:00:00;12;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 12:00:00;12;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 13:00:00;13;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 13:00:00;13;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 14:00:00;14;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 14:00:00;14;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 15:00:00;15;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 15:00:00;15;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 16:00:00;16;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 16:00:00;16;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 17:00:00;17;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 17:00:00;17;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 18:00:00;18;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 18:00:00;18;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 19:00:00;19;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 19:00:00;19;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 20:00:00;20;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 20:00:00;20;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 21:00:00;21;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 21:00:00;21;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 22:00:00;22;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 22:00:00;22;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-30 23:00:00;23;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;FALSE
Termica Milazzo;2015-08-30 23:00:00;23;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;2;TRUE
Termica Milazzo;2015-08-31 00:00:00;0;PM10;NA;NA;;NA;;NA;NA;NA;3;FALSE
Termica Milazzo;2015-08-31 00:00:00;0;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;3;FALSE
Termica Milazzo;2015-08-31 00:00:00;0;PM10;19,20000076;80000000;05:00;19,20000076;05:00;19,20000076;0;720;3;TRUE
Termica Milazzo;2015-08-31 01:00:00;1;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;FALSE
Termica Milazzo;2015-08-31 01:00:00;1;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;TRUE
Termica Milazzo;2015-08-31 02:00:00;2;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;FALSE
Termica Milazzo;2015-08-31 02:00:00;2;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;TRUE
Termica Milazzo;2015-08-31 03:00:00;3;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;FALSE
Termica Milazzo;2015-08-31 03:00:00;3;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;TRUE
Termica Milazzo;2015-08-31 04:00:00;4;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;FALSE
Termica Milazzo;2015-08-31 04:00:00;4;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;TRUE
Termica Milazzo;2015-08-31 05:00:00;5;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;FALSE
Termica Milazzo;2015-08-31 05:00:00;5;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;TRUE
Termica Milazzo;2015-08-31 06:00:00;6;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;FALSE
Termica Milazzo;2015-08-31 06:00:00;6;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;TRUE
Termica Milazzo;2015-08-31 07:00:00;7;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;FALSE
Termica Milazzo;2015-08-31 07:00:00;7;PM10;23,39999962;80000000;05:00;23,39999962;05:00;23,39999962;0;720;2;TRUE
