Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Termini;2015-09-07 00:00:00;0;Benzene;NA;NA;NA;NA;NA;NA;NA;NA;3;FALSE
Termini;2015-09-07 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;3;FALSE
Termini;2015-09-07 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;3;TRUE
Termini;2015-09-07 01:00:00;1;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 01:00:00;1;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 03:00:00;3;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 03:00:00;3;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 04:00:00;4;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 04:00:00;4;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 05:00:00;5;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 05:00:00;5;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 06:00:00;6;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 06:00:00;6;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 07:00:00;7;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 07:00:00;7;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 08:00:00;8;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 08:00:00;8;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 09:00:00;9;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 09:00:00;9;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 10:00:00;10;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 10:00:00;10;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 11:00:00;11;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 11:00:00;11;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 12:00:00;12;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 12:00:00;12;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 13:00:00;13;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-09-07 13:00:00;13;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-09-07 14:00:00;14;Benzene;0,17187605;80400000;13:47;0,135859;13:33;0,21836312;0,02976556;4;2;FALSE
Termini;2015-09-07 14:00:00;14;Benzene;0,17187605;80400000;13:47;0,135859;13:33;0,21836312;0,02976556;4;2;TRUE
Termini;2015-09-07 15:00:00;15;Benzene;0,24808596;80400000;14:02;0,14488385;14:48;0,39215927;0,09351824;4;2;FALSE
Termini;2015-09-07 15:00:00;15;Benzene;0,24808596;80400000;14:02;0,14488385;14:48;0,39215927;0,09351824;4;2;TRUE
Termini;2015-09-07 16:00:00;16;Benzene;0,35047142;80400000;15:47;0,31137489;15:32;0,4226713;0,04322657;4;2;FALSE
Termini;2015-09-07 16:00:00;16;Benzene;0,35047142;80400000;15:47;0,31137489;15:32;0,4226713;0,04322657;4;2;TRUE
Termini;2015-09-07 17:00:00;17;Benzene;0,38254964;80400000;16:17;0,243781;16:47;0,49444709;0,08964753;4;2;FALSE
Termini;2015-09-07 17:00:00;17;Benzene;0,38254964;80400000;16:17;0,243781;16:47;0,49444709;0,08964753;4;2;TRUE
Termini;2015-09-07 18:00:00;18;Benzene;0,47719064;80400000;17:48;0,4627411;17:02;0,50354009;0,01564349;4;2;FALSE
Termini;2015-09-07 18:00:00;18;Benzene;0,47719064;80400000;17:48;0,4627411;17:02;0,50354009;0,01564349;4;2;TRUE
Termini;2015-09-07 19:00:00;19;Benzene;0,41954098;80400000;18:18;0,30967447;18:33;0,47717742;0,06715861;4;2;FALSE
Termini;2015-09-07 19:00:00;19;Benzene;0,41954098;80400000;18:18;0,30967447;18:33;0,47717742;0,06715861;4;2;TRUE
Termini;2015-09-07 20:00:00;20;Benzene;0,25483783;80400000;19:17;0,16716531;19:47;0,33530083;0,06371302;4;2;FALSE
Termini;2015-09-07 20:00:00;20;Benzene;0,25483783;80400000;19:17;0,16716531;19:47;0,33530083;0,06371302;4;2;TRUE
Termini;2015-09-07 21:00:00;21;Benzene;0,13561492;80400000;20:32;0,11901748;20:18;0,15174555;0,0143397;4;2;FALSE
Termini;2015-09-07 21:00:00;21;Benzene;0,13561492;80400000;20:32;0,11901748;20:18;0,15174555;0,0143397;4;2;TRUE
