Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Termini;2015-08-30 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termini;2015-08-30 01:00:00;1;Benzene;0,15937916;80400000;00:18;0,09297617;00:33;0,28164086;0,07703775;4;1;FALSE
Termini;2015-08-30 02:00:00;2;Benzene;0,14597408;80400000;01:03;0,09550647;01:48;0,21284081;0,04560431;4;1;FALSE
Termini;2015-08-30 03:00:00;3;Benzene;0,11279852;80400000;02:02;0,09511798;02:18;0,14477402;0,01921215;4;1;FALSE
Termini;2015-08-30 04:00:00;4;Benzene;0,14331666;80400000;03:47;0,06218243;03:33;0,21606877;0,05459765;4;1;FALSE
Termini;2015-08-30 05:00:00;5;Benzene;0,15407143;80400000;04:18;0,0948322;04:48;0,22123411;0,04592874;4;1;FALSE
Termini;2015-08-30 06:00:00;6;Benzene;0,09419963;80400000;05:18;0,05546616;05:02;0,12891289;0,02761155;4;1;FALSE
Termini;2015-08-30 07:00:00;7;Benzene;0,21940453;80400000;06:03;0,13871982;06:48;0,28469084;0,06358386;4;1;FALSE
Termini;2015-08-30 08:00:00;8;Benzene;0,53580035;80400000;07:18;0,26680588;07:47;1,20995846;0,39021578;4;1;FALSE
Termini;2015-08-30 09:00:00;9;Benzene;0,98580149;80400000;08:47;0,7014127;08:03;1,30701586;0,2257201;4;1;FALSE
Termini;2015-08-30 10:00:00;10;Benzene;0,60993456;80400000;09:48;0,51577053;09:32;0,72383348;0,07685266;4;1;FALSE
Termini;2015-08-30 11:00:00;11;Benzene;0,41568655;80400000;10:33;0,26569227;10:48;0,47660383;0,0870552;4;1;FALSE
Termini;2015-08-30 12:00:00;12;Benzene;0,3563629;80400000;11:47;0,1489366;11:03;0,52173422;0,13720144;4;1;FALSE
Termini;2015-08-30 13:00:00;13;Benzene;0,24655843;80400000;12:48;0,16328545;12:03;0,34669123;0,07156121;4;1;FALSE
Termini;2015-08-30 14:00:00;14;Benzene;0,15745499;80400000;13:03;0,09754759;13:18;0,21200077;0,04061491;4;1;FALSE
Termini;2015-08-30 15:00:00;15;Benzene;0,21916045;80400000;14:17;0,16497571;14:48;0,26871276;0,03675031;4;1;FALSE
Termini;2015-08-30 16:00:00;16;Benzene;0,25851326;80400000;15:18;0,216202;15:02;0,37478993;0,06721353;4;1;FALSE
Termini;2015-08-30 17:00:00;17;Benzene;0,11049502;80400000;16:03;0,09202223;16:48;0,13110859;0,0138851;4;1;FALSE
Termini;2015-08-30 18:00:00;18;Benzene;0,15011022;80400000;17:33;0,11582206;17:02;0,19076072;0,0312097;4;1;FALSE
Termini;2015-08-30 19:00:00;19;Benzene;0,16441432;80400000;18:48;0,10011043;18:03;0,19241843;0,03734424;4;1;FALSE
Termini;2015-08-30 20:00:00;20;Benzene;0,43912636;80400000;19:02;0,23886279;19:47;0,60544451;0,1394368;4;1;FALSE
Termini;2015-08-30 21:00:00;21;Benzene;0,30477253;80400000;20:47;0,09206799;20:03;0,62751544;0,19736614;4;1;FALSE
Termini;2015-08-30 22:00:00;22;Benzene;0,25102204;80400000;21:48;0,16271797;21:03;0,35932136;0,07729098;4;1;FALSE
Termini;2015-08-30 23:00:00;23;Benzene;0,19283744;80400000;22:48;0,1035723;22:02;0,30890561;0,07398777;4;1;FALSE
Termini;2015-08-31 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-08-31 00:00:00;0;Benzene;0,15306257;80400000;23:47;0,14250001;23:33;0,16591338;0,00882451;4;2;FALSE
