Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Termini;2015-08-30 00:00:00;0;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Termini;2015-08-30 01:00:00;1;CO;0,18091502;80400000;01:00;0;00:56;0,45471875;0,10460491;720;FALSE
Termini;2015-08-30 02:00:00;2;CO;0,26354869;80400000;01:09;0;01:25;0,64238014;0,14272376;720;FALSE
Termini;2015-08-30 03:00:00;3;CO;0,30105083;81400000;03:00;0;02:55;0,52689648;0,13795832;720;FALSE
Termini;2015-08-30 04:00:00;4;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Termini;2015-08-30 05:00:00;5;CO;0,13960754;80400000;04:52;0;04:36;0,41038614;0,12239822;720;FALSE
Termini;2015-08-30 06:00:00;6;CO;0,13315317;80400000;06:00;0;05:37;0,48200674;0,12209571;720;FALSE
Termini;2015-08-30 07:00:00;7;CO;0,1398353;80400000;06:54;0;06:58;0,46768238;0,12254189;720;FALSE
Termini;2015-08-30 08:00:00;8;CO;0,20386622;80400000;08:00;0;07:31;0,68254416;0,16077286;720;FALSE
Termini;2015-08-30 09:00:00;9;CO;0,16905982;80400000;08:42;0;08:34;0,58227603;0,13433051;720;FALSE
Termini;2015-08-30 10:00:00;10;CO;0,17177893;80400000;09:57;0;09:13;0,4247105;0,10618989;720;FALSE
Termini;2015-08-30 11:00:00;11;CO;0,13814637;80400000;10:59;0;10:07;0,33876555;0,09322042;720;FALSE
Termini;2015-08-30 12:00:00;12;CO;0,10696778;80400000;11:44;0;11:14;0,29579366;0,0778764;720;FALSE
Termini;2015-08-30 13:00:00;13;CO;0,10682411;80400000;12:55;0;12:26;0,38173744;0,09278826;720;FALSE
Termini;2015-08-30 14:00:00;14;CO;0,11896197;80400000;13:59;0;13:01;0,28146931;0,06895989;720;FALSE
Termini;2015-08-30 15:00:00;15;CO;0,12478211;80400000;14:54;0;14:41;0,29579366;0,0751281;720;FALSE
Termini;2015-08-30 16:00:00;16;CO;0,14457854;80400000;15:26;0;15:58;0,4247105;0,10609645;720;FALSE
Termini;2015-08-30 17:00:00;17;CO;0,11578501;80400000;16:59;0;16:31;0,36741426;0,08751006;720;FALSE
Termini;2015-08-30 18:00:00;18;CO;0,08544037;80400000;17:57;0;17:07;0,31011685;0,07612323;720;FALSE
Termini;2015-08-30 19:00:00;19;CO;0,11321891;80400000;18:47;0;18:51;0,31011685;0,07757506;720;FALSE
Termini;2015-08-30 20:00:00;20;CO;0,14599766;80400000;19:31;0;19:54;0,33876555;0,1067587;720;FALSE
Termini;2015-08-30 21:00:00;21;CO;0,1049156;80400000;20:57;0;20:08;0,33876555;0,07496925;720;FALSE
Termini;2015-08-30 22:00:00;22;CO;0,11161058;80400000;22:00;0;21:48;0,41038614;0,09380909;720;FALSE
Termini;2015-08-30 23:00:00;23;CO;0,08488674;80400000;23:00;0;22:33;0,31011685;0,07624237;720;FALSE
Termini;2015-08-31 00:00:00;0;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Termini;2015-08-31 00:00:00;0;CO;0,16488306;80400000;23:51;0;23:58;0,72551722;0,13982128;720;FALSE
Termini;2015-08-31 01:00:00;1;CO;0,13710685;80400000;00:51;0;00:24;0,49633109;0,12306282;720;FALSE
Termini;2015-08-31 01:00:00;1;CO;0,13710685;80400000;00:51;0;00:24;0,49633109;0,12306282;720;TRUE
Termini;2015-08-31 02:00:00;2;CO;0,06371907;80400000;01:59;0;01:38;0,26714496;0,07738467;720;FALSE
Termini;2015-08-31 02:00:00;2;CO;0,06371907;80400000;01:59;0;01:38;0,26714496;0,07738467;720;TRUE
Termini;2015-08-31 03:00:00;3;CO;0,10812994;81400000;02:57;0;02:38;0,53930298;0,11827986;720;FALSE
Termini;2015-08-31 03:00:00;3;CO;0,10812994;81400000;02:57;0;02:38;0,53930298;0,11827986;720;TRUE
Termini;2015-08-31 04:00:00;4;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Termini;2015-08-31 04:00:00;4;CO;NA;NA;;NA;;NA;NA;NA;TRUE
Termini;2015-08-31 05:00:00;5;CO;0,09970165;80400000;04:59;0;04:34;0,56925867;0,13633013;720;FALSE
Termini;2015-08-31 05:00:00;5;CO;0,09970165;80400000;04:59;0;04:34;0,56925867;0,13633013;720;TRUE
Termini;2015-08-31 06:00:00;6;CO;0,09486146;80400000;05:58;0;05:18;0,46799307;0,10974411;720;FALSE
Termini;2015-08-31 06:00:00;6;CO;0,09486146;80400000;05:58;0;05:18;0,46799307;0,10974411;720;TRUE
Termini;2015-08-31 07:00:00;7;CO;0,18140909;80400000;06:58;0;06:01;0,48245992;0,12351717;720;FALSE
