Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Termini;2015-08-30 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termini;2015-08-30 01:00:00;1;NO2;0,43901623;80400000;00:54;0;00:43;1,39369695;0,330776;720;1;FALSE
Termini;2015-08-30 02:00:00;2;NO2;0,95552774;80400000;02:00;0;01:06;2,31797878;0,46369824;720;1;FALSE
Termini;2015-08-30 03:00:00;3;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termini;2015-08-30 04:00:00;4;NO2;0,57407418;80400000;04:00;0;03:17;1,74231956;0,45227404;720;1;FALSE
Termini;2015-08-30 05:00:00;5;NO2;0,63746271;80400000;04:39;0;04:57;1,74231956;0,50061896;720;1;FALSE
Termini;2015-08-30 06:00:00;6;NO2;1,03041695;80400000;05:56;0;05:39;3,1345806;0,77136963;720;1;FALSE
Termini;2015-08-30 07:00:00;7;NO2;5,53907356;80400000;06:07;0,12386318;06:15;9,64107836;2,4433295;720;1;FALSE
Termini;2015-08-30 08:00:00;8;NO2;3,55848438;80400000;07:19;1,97093358;07:50;5,22599886;0,84791082;720;1;FALSE
Termini;2015-08-30 09:00:00;9;NO2;2,58495708;80400000;08:59;0,57867254;08:27;3,83373782;0,86329859;720;1;FALSE
Termini;2015-08-30 10:00:00;10;NO2;1,21281219;80400000;09:38;0;09:17;2,67251138;0,59656503;720;1;FALSE
Termini;2015-08-30 11:00:00;11;NO2;0,83328593;80400000;10:35;0;10:53;1,97819535;0,41950618;720;1;FALSE
Termini;2015-08-30 12:00:00;12;NO2;0,09055232;80400000;12:00;0;11:08;1,05163442;0,16442244;720;1;FALSE
Termini;2015-08-30 13:00:00;13;NO2;0,00530389;80400000;13:00;0;12:37;0,35489779;0,03606414;720;1;FALSE
Termini;2015-08-30 14:00:00;14;NO2;0;80400000;14:00;0;14:00;0;0;720;1;FALSE
Termini;2015-08-30 15:00:00;15;NO2;0,00198466;80400000;15:00;0;14:31;0,1202323;0,01525011;720;1;FALSE
Termini;2015-08-30 16:00:00;16;NO2;0;80400000;16:00;0;16:00;0;0;720;1;FALSE
Termini;2015-08-30 17:00:00;17;NO2;0;80400000;17:00;0;17:00;0;0;720;1;FALSE
Termini;2015-08-30 18:00:00;18;NO2;0,08469204;80400000;18:00;0;17:48;1,28024843;0,23932313;720;1;FALSE
Termini;2015-08-30 19:00:00;19;NO2;0,28093398;80400000;18:55;0;18:59;6,62310108;0,9761238;720;1;FALSE
Termini;2015-08-30 20:00:00;20;NO2;8,24269318;80400000;19:54;4,52926223;19:04;11,73249662;1,67958302;720;1;FALSE
Termini;2015-08-30 21:00:00;21;NO2;4,91451876;80400000;20:56;2,20560098;20:46;8,24760702;1,27800566;720;1;FALSE
Termini;2015-08-30 22:00:00;22;NO2;3,25364084;80400000;21:59;1,04679323;21:24;5,22841945;1,02178427;720;1;FALSE
Termini;2015-08-30 23:00:00;23;NO2;1,2570769;80400000;22:59;0;22:27;2,44268516;0,4207356;720;1;FALSE
Termini;2015-08-31 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-08-31 00:00:00;0;NO2;1,18329474;80400000;23:00;0,11539302;23:36;2,20801966;0,44875405;720;2;FALSE
Termini;2015-08-31 01:00:00;1;NO2;0,8061795;80400000;00:51;0;00:39;1,97456446;0,43962807;720;2;FALSE
Termini;2015-08-31 01:00:00;1;NO2;0,8061795;80400000;00:51;0;00:39;1,97456446;0,43962807;720;2;TRUE
Termini;2015-08-31 02:00:00;2;NO2;0,13923184;80400000;01:59;0;01:56;1,05163442;0,22977651;720;2;FALSE
Termini;2015-08-31 02:00:00;2;NO2;0,13923184;80400000;01:59;0;01:56;1,05163442;0,22977651;720;2;TRUE
Termini;2015-08-31 03:00:00;3;NO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
Termini;2015-08-31 03:00:00;3;NO2;NA;NA;;NA;;NA;NA;NA;2;TRUE
Termini;2015-08-31 04:00:00;4;NO2;0,75535663;80400000;03:17;0;03:43;1,56185353;0,33164405;720;2;FALSE
Termini;2015-08-31 04:00:00;4;NO2;0,75535663;80400000;03:17;0;03:43;1,56185353;0,33164405;720;2;TRUE
Termini;2015-08-31 05:00:00;5;NO2;1,22838543;80400000;04:00;0;04:19;2,02475829;0,32366145;720;2;FALSE
Termini;2015-08-31 05:00:00;5;NO2;1,22838543;80400000;04:00;0;04:19;2,02475829;0,32366145;720;2;TRUE
Termini;2015-08-31 06:00:00;6;NO2;2,96364398;80400000;05:07;0,39858317;05:58;5,49453734;1,18586064;720;2;FALSE
Termini;2015-08-31 06:00:00;6;NO2;2,96364398;80400000;05:07;0,39858317;05:58;5,49453734;1,18586064;720;2;TRUE
Termini;2015-08-31 07:00:00;7;NO2;7,10857318;80400000;06:00;4,56271841;06:57;9,88812023;1,10056823;720;2;FALSE
Termini;2015-08-31 07:00:00;7;NO2;7,10857318;80400000;06:00;4,56271841;06:57;9,88812023;1,10056823;720;2;TRUE
Termini;2015-08-31 08:00:00;8;NO2;7,66129796;80400000;07:08;3,63891266;07:51;12,42608035;2,28229322;720;2;FALSE
Termini;2015-08-31 08:00:00;8;NO2;7,66129796;80400000;07:08;3,63891266;07:51;12,42608035;2,28229322;720;2;TRUE
Termini;2015-08-31 09:00:00;9;NO2;6,29238435;80400000;08:59;2,25620971;08:03;9,42521547;1,7587532;720;2;FALSE
Termini;2015-08-31 09:00:00;9;NO2;6,29238435;80400000;08:59;2,25620971;08:03;9,42521547;1,7587532;720;2;TRUE
Termini;2015-08-31 10:00:00;10;NO2;3,0082127;80400000;09:58;0,87350867;09:19;5,03563822;1,00521488;720;2;FALSE
Termini;2015-08-31 10:00:00;10;NO2;3,0082127;80400000;09:58;0,87350867;09:19;5,03563822;1,00521488;720;2;TRUE
Termini;2015-08-31 11:00:00;11;NO2;2,37465046;80400000;10:52;0,41060391;10:12;4,57674102;1,13079886;720;2;FALSE
Termini;2015-08-31 11:00:00;11;NO2;2,37465046;80400000;10:52;0,41060391;10:12;4,57674102;1,13079886;720;2;TRUE
Termini;2015-08-31 12:00:00;12;NO2;2,00567653;80400000;11:02;0,87350867;11:39;3,19003242;0,39580694;720;2;FALSE
Termini;2015-08-31 12:00:00;12;NO2;2,00567653;80400000;11:02;0,87350867;11:39;3,19003242;0,39580694;720;2;TRUE
Termini;2015-08-31 13:00:00;13;NO2;0,74812927;80400000;13:00;0;12:01;2,72712766;0,67057282;720;2;FALSE
Termini;2015-08-31 13:00:00;13;NO2;0,74812927;80400000;13:00;0;12:01;2,72712766;0,67057282;720;2;TRUE
Termini;2015-08-31 14:00:00;14;NO2;0,0957759;80400000;14:00;0;13:48;0,64806475;0,15195429;720;2;FALSE
Termini;2015-08-31 14:00:00;14;NO2;0,0957759;80400000;14:00;0;13:48;0,64806475;0,15195429;720;2;TRUE
Termini;2015-08-31 15:00:00;15;NO2;0,11575057;80400000;14:53;0;14:58;0,87751431;0,18804902;720;2;FALSE
Termini;2015-08-31 15:00:00;15;NO2;0,11575057;80400000;14:53;0;14:58;0,87751431;0,18804902;720;2;TRUE
Termini;2015-08-31 16:00:00;16;NO2;0,41681218;80400000;15:57;0;15:22;1,34041907;0,38487222;690;2;FALSE
Termini;2015-08-31 16:00:00;16;NO2;0,41681218;80400000;15:57;0;15:22;1,34041907;0,38487222;690;2;TRUE
Termini;2015-08-31 17:00:00;17;NO2;0,54266384;80400000;16:54;0;16:02;1,56986672;0,33672806;720;2;FALSE
Termini;2015-08-31 17:00:00;17;NO2;0,54266384;80400000;16:54;0;16:02;1,56986672;0,33672806;720;2;TRUE
Termini;2015-08-31 18:00:00;18;NO2;0,71863667;80400000;17:59;0;17:42;2,03477526;0,4591515;720;2;FALSE
Termini;2015-08-31 18:00:00;18;NO2;0,71863667;80400000;17:59;0;17:42;2,03477526;0,4591515;720;2;TRUE
Termini;2015-08-31 19:00:00;19;NO2;0,89442978;80400000;18:33;0;18:56;2,96058286;0,7206175;720;2;FALSE
Termini;2015-08-31 19:00:00;19;NO2;0,89442978;80400000;18:33;0;18:56;2,96058286;0,7206175;720;2;TRUE
