Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Termini;2015-08-30 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termini;2015-08-30 01:00:00;1;O3;63,96199425;80400000;00:01;49,5733959;00:58;70,3585428;5,37184274;720;1;FALSE
Termini;2015-08-30 02:00:00;2;O3;63,28433265;80400000;01:20;59,43302505;01:47;67,6937814;1,59957105;720;1;FALSE
Termini;2015-08-30 03:00:00;3;O3;61,3557063;80400000;02:39;57,0347358;02:00;66,09492855;1,80928944;720;1;FALSE
Termini;2015-08-30 04:00:00;4;O3;58,11580635;81400000;04:00;46,64216235;03:37;66,89432505;4,52887943;720;1;FALSE
Termini;2015-08-30 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termini;2015-08-30 06:00:00;6;O3;61,65493635;80400000;05:59;45,0283071;05:31;69,8702865;5,11559297;720;1;FALSE
Termini;2015-08-30 07:00:00;7;O3;52,40966745;80400000;06:10;34,98577635;07:00;63,2633652;6,62843139;720;1;FALSE
Termini;2015-08-30 08:00:00;8;O3;72,0380934;80400000;07:07;61,6776993;07:51;84,4054974;6,77222301;720;1;FALSE
Termini;2015-08-30 09:00:00;9;O3;89,7049755;80400000;08:18;78,06285375;08:58;107,66183085;8,72233751;720;1;FALSE
Termini;2015-08-30 10:00:00;10;O3;101,4337002;80400000;10:00;87,31251165;09:33;109,7760321;5,54490101;720;1;FALSE
Termini;2015-08-30 11:00:00;11;O3;94,7944998;80400000;10:01;76,2129102;10:16;106,60472025;6,84238517;720;1;FALSE
Termini;2015-08-30 12:00:00;12;O3;98,41249215;80400000;11:08;78,32711145;11:33;107,66183085;6,7016459;720;1;FALSE
Termini;2015-08-30 13:00:00;13;O3;101,3265288;80400000;12:03;77,7985761;12:59;112,68304635;8,9474972;720;1;FALSE
Termini;2015-08-30 14:00:00;14;O3;103,53764715;80400000;13:58;76,74148545;13:17;112,68304635;7,83761286;720;1;FALSE
Termini;2015-08-30 15:00:00;15;O3;91,56517335;80400000;14:12;78,32711145;14:04;105,54760965;6,65094896;720;1;FALSE
Termini;2015-08-30 16:00:00;16;O3;87,35987295;80400000;15:22;63,7919205;15:06;99,7335213;5,88077522;720;1;FALSE
Termini;2015-08-30 17:00:00;17;O3;89,14336305;80400000;16:31;73,305876;16:53;98,14787535;5,4866909;720;1;FALSE
Termini;2015-08-30 18:00:00;18;O3;97,44240345;80400000;17:43;89,42673285;17:58;105,8118873;3,78259382;720;1;FALSE
Termini;2015-08-30 19:00:00;19;O3;102,30214365;80400000;19:00;68,0203629;18:32;109,7760321;8,25418682;720;1;FALSE
Termini;2015-08-30 20:00:00;20;O3;66,13554675;80400000;19:20;56,9207415;19:15;78,59140905;5,30346611;720;1;FALSE
Termini;2015-08-30 21:00:00;21;O3;77,463456;80400000;20:01;68,54889825;20:54;89,6910105;3,88880762;720;1;FALSE
Termini;2015-08-30 22:00:00;22;O3;81,92385705;80400000;21:03;74,098689;21:10;88,10536455;2,48707872;720;1;FALSE
