Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Termini;2015-08-30 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
Termini;2015-08-30 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
Termini;2015-08-30 02:00:00;2;SO2;1,64698065;80400000;01:44;0,46605042;01:58;2,74210659;0,46293026;720;FALSE
Termini;2015-08-30 03:00:00;3;SO2;2,0958692;80400000;02:15;0,79120058;02:58;3,06725776;0,44570635;720;FALSE
Termini;2015-08-30 04:00:00;4;SO2;2,03362473;80400000;04:00;0;03:48;3,39241097;0,82081053;720;FALSE
Termini;2015-08-30 05:00:00;5;SO2;1,36923083;80400000;04:13;0;04:48;2,74210659;0,85342877;720;FALSE
Termini;2015-08-30 06:00:00;6;SO2;1,5559683;80400000;06:00;0;05:46;3,06725776;0,7714901;720;FALSE
Termini;2015-08-30 07:00:00;7;SO2;1,47817289;80400000;06:11;0;06:39;3,06725776;0,88319026;720;FALSE
Termini;2015-08-30 08:00:00;8;SO2;2,13651462;80400000;07:07;0,46605042;07:59;3,39241097;0,57547962;720;FALSE
Termini;2015-08-30 09:00:00;9;SO2;2,29457167;80400000;08:47;1,11635175;08:39;3,71756112;0,4926704;720;FALSE
Termini;2015-08-30 10:00:00;10;SO2;2,77055818;80400000;09:07;1,11635175;09:31;4,36786245;0,55496978;720;FALSE
Termini;2015-08-30 11:00:00;11;SO2;2,44134206;80400000;10:57;1,11635175;10:16;3,71756112;0,56212743;720;FALSE
Termini;2015-08-30 12:00:00;12;SO2;1,87097185;80400000;11:49;0,79120058;11:56;3,71756112;0,49887104;720;FALSE
Termini;2015-08-30 13:00:00;13;SO2;2,50682364;80400000;12:17;1,11635175;12:57;4,36786245;0,55344733;720;FALSE
Termini;2015-08-30 14:00:00;14;SO2;2,61475683;80400000;13:45;1,4415019;13:09;4,0427123;0,51031738;720;FALSE
Termini;2015-08-30 15:00:00;15;SO2;2,50637413;80400000;14:55;1,4415019;14:23;3,71756112;0,45816155;720;FALSE
Termini;2015-08-30 16:00:00;16;SO2;2,3650213;80400000;15:37;0,46605042;15:44;3,71756112;0,55007089;720;FALSE
Termini;2015-08-30 17:00:00;17;SO2;2,56778974;80400000;16:32;1,11635175;16:49;4,36786245;0,72554916;720;FALSE
Termini;2015-08-30 18:00:00;18;SO2;3,61685473;80400000;17:56;2,09180526;17:11;5,34331698;0,57067938;720;FALSE
Termini;2015-08-30 19:00:00;19;SO2;1,95090602;80400000;18:36;0,14090027;18:03;3,71756112;0,61152719;720;FALSE
Termini;2015-08-30 20:00:00;20;SO2;1,35976358;80400000;19:44;0,14090027;19:54;2,74210659;0,48885461;720;FALSE
Termini;2015-08-30 21:00:00;21;SO2;1,54401652;80400000;20:33;0,46605042;20:45;2,74210659;0,48492187;720;FALSE
Termini;2015-08-30 22:00:00;22;SO2;1,63704456;80400000;21:47;0,46605042;21:28;3,06725776;0,46721387;720;FALSE
Termini;2015-08-30 23:00:00;23;SO2;2,06245159;80400000;22:18;0,46605042;22:59;3,06725776;0,49089675;720;FALSE
Termini;2015-08-31 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
Termini;2015-08-31 00:00:00;0;SO2;2,53030719;81400000;23:28;1,4415019;23:59;3,39241097;0,43311284;720;FALSE
Termini;2015-08-31 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
Termini;2015-08-31 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;TRUE
Termini;2015-08-31 02:00:00;2;SO2;0,13185812;80400000;02:00;0;01:39;1,22659251;0,26509529;720;FALSE
Termini;2015-08-31 02:00:00;2;SO2;0,13185812;80400000;02:00;0;01:39;1,22659251;0,26509529;720;TRUE
Termini;2015-08-31 03:00:00;3;SO2;0,06007928;80400000;03:00;0;02:57;0,89950091;0,14379363;720;FALSE
Termini;2015-08-31 03:00:00;3;SO2;0,06007928;80400000;03:00;0;02:57;0,89950091;0,14379363;720;TRUE
Termini;2015-08-31 04:00:00;4;SO2;0,36286763;80400000;03:59;0;03:52;1,55368412;0,37575913;720;FALSE
Termini;2015-08-31 04:00:00;4;SO2;0,36286763;80400000;03:59;0;03:52;1,55368412;0,37575913;720;TRUE
Termini;2015-08-31 05:00:00;5;SO2;0,60432479;80400000;04:59;0;04:53;1,88077573;0,42738306;720;FALSE
Termini;2015-08-31 05:00:00;5;SO2;0,60432479;80400000;04:59;0;04:53;1,88077573;0,42738306;720;TRUE
Termini;2015-08-31 06:00:00;6;SO2;0,91392603;80400000;05:32;0;05:46;2,20786734;0,47003096;720;FALSE
Termini;2015-08-31 06:00:00;6;SO2;0,91392603;80400000;05:32;0;05:46;2,20786734;0,47003096;720;TRUE
Termini;2015-08-31 07:00:00;7;SO2;0,88576022;80400000;06:54;0;06:59;1,88077573;0,46196106;720;FALSE
Termini;2015-08-31 07:00:00;7;SO2;0,88576022;80400000;06:54;0;06:59;1,88077573;0,46196106;720;TRUE
Termini;2015-08-31 08:00:00;8;SO2;0,74640376;80400000;07:59;0;07:39;1,88077573;0,46406422;720;FALSE
Termini;2015-08-31 08:00:00;8;SO2;0,74640376;80400000;07:59;0;07:39;1,88077573;0,46406422;720;TRUE
Termini;2015-08-31 09:00:00;9;SO2;0,76219065;80400000;08:40;0;08:59;3,51623275;0,72176795;720;FALSE
Termini;2015-08-31 09:00:00;9;SO2;0,76219065;80400000;08:40;0;08:59;3,51623275;0,72176795;720;TRUE
Termini;2015-08-31 10:00:00;10;SO2;2,7694883;80400000;09:22;0;10:00;5,80587401;1,39775666;720;FALSE
Termini;2015-08-31 10:00:00;10;SO2;2,7694883;80400000;09:22;0;10:00;5,80587401;1,39775666;720;TRUE
Termini;2015-08-31 11:00:00;11;SO2;4,86957499;80400000;10:59;3,51623275;10:14;6,13296765;0,51159778;720;FALSE
Termini;2015-08-31 11:00:00;11;SO2;4,86957499;80400000;10:59;3,51623275;10:14;6,13296765;0,51159778;720;TRUE
Termini;2015-08-31 12:00:00;12;SO2;2,75483638;80400000;11:59;0,5724093;11:25;5,15169283;1,13312004;720;FALSE
Termini;2015-08-31 12:00:00;12;SO2;2,75483638;80400000;11:59;0,5724093;11:25;5,15169283;1,13312004;720;TRUE
Termini;2015-08-31 13:00:00;13;SO2;0,31085012;80400000;13:00;0;12:02;2,20786734;0,45027268;720;FALSE
Termini;2015-08-31 13:00:00;13;SO2;0,31085012;80400000;13:00;0;12:02;2,20786734;0,45027268;720;TRUE
Termini;2015-08-31 14:00:00;14;SO2;0,01306235;80400000;14:00;0;13:06;0,5724093;0,0638259;720;FALSE
Termini;2015-08-31 14:00:00;14;SO2;0,01306235;80400000;14:00;0;13:06;0,5724093;0,0638259;720;TRUE
Termini;2015-08-31 15:00:00;15;SO2;0,0003407;80400000;15:00;0;14:05;0,24531769;0,00913469;720;FALSE
Termini;2015-08-31 15:00:00;15;SO2;0,0003407;80400000;15:00;0;14:05;0,24531769;0,00913469;720;TRUE
Termini;2015-08-31 16:00:00;16;SO2;0,01173415;80400000;16:00;0;15:44;0,5724093;0,05962163;690;FALSE
Termini;2015-08-31 16:00:00;16;SO2;0,01173415;80400000;16:00;0;15:44;0,5724093;0,05962163;690;TRUE
Termini;2015-08-31 17:00:00;17;SO2;0,02578095;80400000;17:00;0;16:24;0,89950091;0,09547189;720;FALSE
Termini;2015-08-31 17:00:00;17;SO2;0,02578095;80400000;17:00;0;16:24;0,89950091;0,09547189;720;TRUE
Termini;2015-08-31 18:00:00;18;SO2;0,00102209;80400000;18:00;0;17:55;0,24531769;0,01580215;720;FALSE
Termini;2015-08-31 18:00:00;18;SO2;0,00102209;80400000;18:00;0;17:55;0,24531769;0,01580215;720;TRUE
Termini;2015-08-31 19:00:00;19;SO2;0,00170449;80400000;19:00;0;18:20;0,24531769;0,02037051;720;FALSE
Termini;2015-08-31 19:00:00;19;SO2;0,00170449;80400000;19:00;0;18:20;0,24531769;0,02037051;720;TRUE
Termini;2015-08-31 20:00:00;20;SO2;0;80400000;20:00;0;20:00;0;0;720;FALSE
Termini;2015-08-31 20:00:00;20;SO2;0;80400000;20:00;0;20:00;0;0;720;TRUE
Termini;2015-08-31 21:00:00;21;SO2;0,00136278;80400000;21:00;0;20:59;0,24531769;0,01823278;720;FALSE
Termini;2015-08-31 21:00:00;21;SO2;0,00136278;80400000;21:00;0;20:59;0,24531769;0,01823278;720;TRUE
Termini;2015-08-31 22:00:00;22;SO2;0,02203229;80400000;22:00;0;21:46;0,89950091;0,08072743;720;FALSE
Termini;2015-08-31 22:00:00;22;SO2;0,02203229;80400000;22:00;0;21:46;0,89950091;0,08072743;720;TRUE
Termini;2015-08-31 23:00:00;23;SO2;0,11470845;80400000;23:00;0;22:42;1,22659251;0,21334931;720;FALSE
Termini;2015-08-31 23:00:00;23;SO2;0,11470845;80400000;23:00;0;22:42;1,22659251;0,21334931;720;TRUE
Termini;2015-09-01 00:00:00;0;SO2;0,15184827;81400000;23:59;0;23:39;1,22659251;0,23024778;720;FALSE
Termini;2015-09-01 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
