Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Trapani;2015-09-06 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;3;FALSE
Trapani;2015-09-06 00:00:00;0;Benzene;0,17062718;80400000;23:23;0,12348516;23:53;0,2096098;0,03281249;4;3;FALSE
Trapani;2015-09-06 00:00:00;0;Benzene;0,17062718;80400000;23:23;0,12348516;23:53;0,2096098;0,03281249;4;3;TRUE
Trapani;2015-09-06 01:00:00;1;Benzene;0,10793218;80400000;00:53;0,06379743;00:08;0,17605796;0,04618197;4;2;FALSE
Trapani;2015-09-06 01:00:00;1;Benzene;0,10793218;80400000;00:53;0,06379743;00:08;0,17605796;0,04618197;4;2;TRUE
Trapani;2015-09-06 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Trapani;2015-09-06 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Trapani;2015-09-06 03:00:00;3;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Trapani;2015-09-06 03:00:00;3;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Trapani;2015-09-06 04:00:00;4;Benzene;0,19754411;80400000;03:38;0,08664332;03:53;0,26573803;0,0695211;4;2;FALSE
Trapani;2015-09-06 04:00:00;4;Benzene;0,19754411;80400000;03:38;0,08664332;03:53;0,26573803;0,0695211;4;2;TRUE
Trapani;2015-09-06 05:00:00;5;Benzene;1,94034854;80400000;04:08;0,12699889;04:53;4,07186867;1,41696983;4;2;FALSE
Trapani;2015-09-06 05:00:00;5;Benzene;1,94034854;80400000;04:08;0,12699889;04:53;4,07186867;1,41696983;4;2;TRUE
Trapani;2015-09-06 06:00:00;6;Benzene;0,26665333;80400000;05:38;0,1183849;05:08;0,56024293;0,1723398;4;2;FALSE
Trapani;2015-09-06 06:00:00;6;Benzene;0,26665333;80400000;05:38;0,1183849;05:08;0,56024293;0,1723398;4;2;TRUE
Trapani;2015-09-06 07:00:00;7;Benzene;0,24568584;80400000;06:38;0,17834519;06:53;0,31707823;0,06185801;4;2;FALSE
Trapani;2015-09-06 07:00:00;7;Benzene;0,24568584;80400000;06:38;0,17834519;06:53;0,31707823;0,06185801;4;2;TRUE
Trapani;2015-09-06 08:00:00;8;Benzene;0,27445881;80400000;07:23;0,18366512;07:38;0,34201608;0,06156918;4;2;FALSE
Trapani;2015-09-06 08:00:00;8;Benzene;0,27445881;80400000;07:23;0,18366512;07:38;0,34201608;0,06156918;4;2;TRUE
Trapani;2015-09-06 09:00:00;9;Benzene;0,32830997;80400000;08:23;0,22986031;08:38;0,3791793;0,05866259;4;2;FALSE
Trapani;2015-09-06 09:00:00;9;Benzene;0,32830997;80400000;08:23;0,22986031;08:38;0,3791793;0,05866259;4;2;TRUE
Trapani;2015-09-06 10:00:00;10;Benzene;0,19889367;80400000;09:23;0,13434062;09:53;0,25823461;0,05916194;4;2;FALSE
Trapani;2015-09-06 10:00:00;10;Benzene;0,19889367;80400000;09:23;0,13434062;09:53;0,25823461;0,05916194;4;2;TRUE
Trapani;2015-09-06 11:00:00;11;Benzene;0,21031357;80400000;10:53;0,16883014;10:23;0,2395574;0,02755663;4;2;FALSE
Trapani;2015-09-06 11:00:00;11;Benzene;0,21031357;80400000;10:53;0,16883014;10:23;0,2395574;0,02755663;4;2;TRUE
Trapani;2015-09-06 12:00:00;12;Benzene;0,17737802;80400000;11:23;0,14171793;11:38;0,24154869;0,03808055;4;2;FALSE
Trapani;2015-09-06 12:00:00;12;Benzene;0,17737802;80400000;11:23;0,14171793;11:38;0,24154869;0,03808055;4;2;TRUE
Trapani;2015-09-06 13:00:00;13;Benzene;0,10892782;80400000;12:08;0,08725962;12:53;0,12710568;0,01712018;4;2;FALSE
Trapani;2015-09-06 13:00:00;13;Benzene;0,10892782;80400000;12:08;0,08725962;12:53;0,12710568;0,01712018;4;2;TRUE
Trapani;2015-09-06 14:00:00;14;Benzene;0,10325093;80400000;13:53;0,08568632;13:23;0,12252816;0,01424817;4;2;FALSE
Trapani;2015-09-06 14:00:00;14;Benzene;0,10325093;80400000;13:53;0,08568632;13:23;0,12252816;0,01424817;4;2;TRUE
Trapani;2015-09-06 15:00:00;15;Benzene;0,06713624;80400000;14:23;0,03125444;14:08;0,11062214;0,02832548;4;2;FALSE
