Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Trapani;2015-08-30 00:00:00;0;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-30 01:00:00;1;CO;0,28196688;80400000;00:56;0,19196314;00:00;0,42437878;0,0509832;720;FALSE
Trapani;2015-08-30 02:00:00;2;CO;0,22014931;80400000;01:26;0,17137013;01:39;0,29493285;0,02468918;720;FALSE
Trapani;2015-08-30 03:00:00;3;CO;0,28041811;81400000;02:07;0,2154995;02:51;0,39201701;0,03731526;720;FALSE
Trapani;2015-08-30 04:00:00;4;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-30 05:00:00;5;CO;0,18515954;80400000;04:21;0,14701966;04:48;0,25354827;0,02077989;720;FALSE
Trapani;2015-08-30 06:00:00;6;CO;0,18532306;80400000;05:09;0,12630518;05:57;0,28313955;0,02821187;720;FALSE
Trapani;2015-08-30 07:00:00;7;CO;0,23712035;80400000;06:18;0,18548774;06:36;0,3482392;0,02936936;720;FALSE
Trapani;2015-08-30 08:00:00;8;CO;0,27334938;80400000;07:24;0,18844746;07:56;0,38374874;0,04536746;720;FALSE
Trapani;2015-08-30 09:00:00;9;CO;0,25150894;80400000;08:47;0,14997821;08:17;0,36895368;0,06239573;720;FALSE
Trapani;2015-08-30 10:00:00;10;CO;0,20763653;80400000;09:00;0,14110141;09:52;0,25354827;0,02416826;720;FALSE
Trapani;2015-08-30 11:00:00;11;CO;0,17622784;80400000;10:34;0,10855042;10:23;0,22395699;0,01996229;720;FALSE
Trapani;2015-08-30 12:00:00;12;CO;0,17269814;80400000;11:30;0,1292649;11:21;0,21507902;0,01633915;720;FALSE
Trapani;2015-08-30 13:00:00;13;CO;0,13385514;80400000;12:55;0,07895914;12:06;0,20324251;0,022192;720;FALSE
Trapani;2015-08-30 14:00:00;14;CO;0,11085605;80400000;13:29;0,06120437;13:01;0,15885618;0,0197065;720;FALSE
Trapani;2015-08-30 15:00:00;15;CO;0,10083578;80400000;14:48;0,04936786;14:16;0,15589646;0,02119219;720;FALSE
Trapani;2015-08-30 16:00:00;16;CO;0,09908144;80400000;15:44;0,04640931;15:02;0,1381417;0,01775594;720;FALSE
Trapani;2015-08-30 17:00:00;17;CO;0,1208553;80400000;16:18;0,06416408;16:24;0,17956949;0,01909797;720;FALSE
Trapani;2015-08-30 18:00:00;18;CO;0,13414246;80400000;17:48;0,07895914;17:08;0,17956949;0,02022042;720;FALSE
Trapani;2015-08-30 19:00:00;19;CO;0,15537437;80400000;18:53;0,09079565;18:11;0,21803874;0,02684064;720;FALSE
Trapani;2015-08-30 20:00:00;20;CO;0,16811141;80400000;19:39;0,10855042;19:48;0,2357935;0,02532458;720;FALSE
Trapani;2015-08-30 21:00:00;21;CO;0,17155934;80400000;20:27;0,11446867;20:41;0,25946653;0,02610246;720;FALSE
Trapani;2015-08-30 22:00:00;22;CO;0,17054786;80400000;21:14;0,11151013;21:58;0,25946653;0,03094382;720;FALSE
Trapani;2015-08-30 23:00:00;23;CO;0,21461883;80400000;22:56;0,16181472;22:19;0,2772213;0,02539816;720;FALSE
Trapani;2015-08-31 00:00:00;0;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 00:00:00;0;CO;0,19254013;80400000;23:57;0,14405995;23:25;0,25946653;0,02509098;720;FALSE
Trapani;2015-08-31 01:00:00;1;CO;0,22631168;80400000;00:08;0,14110141;00:32;0,30977112;0,03446534;720;FALSE
Trapani;2015-08-31 01:00:00;1;CO;0,22631168;80400000;00:08;0,14110141;00:32;0,30977112;0,03446534;720;TRUE
Trapani;2015-08-31 02:00:00;2;CO;0,17191675;80400000;01:25;0,13222344;01:00;0,2446703;0,01697338;718;FALSE
Trapani;2015-08-31 02:00:00;2;CO;0,17191675;80400000;01:25;0,13222344;01:00;0,2446703;0,01697338;718;TRUE
Trapani;2015-08-31 03:00:00;3;CO;0,16316259;81400000;02:39;0,10263216;02:49;0,21212048;0,02080675;720;FALSE
Trapani;2015-08-31 03:00:00;3;CO;0,16316259;81400000;02:39;0,10263216;02:49;0,21212048;0,02080675;720;TRUE
Trapani;2015-08-31 04:00:00;4;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 04:00:00;4;CO;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 05:00:00;5;CO;0,20315374;80400000;04:32;0,14362779;04:47;0,30550325;0,03397011;720;FALSE
Trapani;2015-08-31 05:00:00;5;CO;0,20315374;80400000;04:32;0,14362779;04:47;0,30550325;0,03397011;720;TRUE
Trapani;2015-08-31 06:00:00;6;CO;0,20575371;80400000;05:58;0,14068443;05:12;0,34670912;0,04171629;720;FALSE
Trapani;2015-08-31 06:00:00;6;CO;0,20575371;80400000;05:58;0,14068443;05:12;0,34670912;0,04171629;720;TRUE
Trapani;2015-08-31 07:00:00;7;CO;0,24596562;80400000;06:00;0,16423014;06:52;0,35259467;0,04466432;720;FALSE
Trapani;2015-08-31 07:00:00;7;CO;0,24596562;80400000;06:00;0,16423014;06:52;0,35259467;0,04466432;720;TRUE
Trapani;2015-08-31 08:00:00;8;CO;0,28372822;80400000;07:55;0,18188914;07:11;0,35259467;0,03333005;720;FALSE
Trapani;2015-08-31 08:00:00;8;CO;0,28372822;80400000;07:55;0,18188914;07:11;0,35259467;0,03333005;720;TRUE
Trapani;2015-08-31 09:00:00;9;CO;0,20631435;80400000;08:23;0,15540123;08:04;0,25546963;0,02130315;720;FALSE
