Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Trapani;2015-08-30 00:00:00;0;PM10;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-30 01:00:00;1;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 02:00:00;2;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 03:00:00;3;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 04:00:00;4;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 05:00:00;5;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 06:00:00;6;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 07:00:00;7;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 08:00:00;8;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 09:00:00;9;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 10:00:00;10;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 11:00:00;11;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 12:00:00;12;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 13:00:00;13;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 14:00:00;14;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 15:00:00;15;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 16:00:00;16;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 17:00:00;17;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 18:00:00;18;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 19:00:00;19;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 20:00:00;20;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 21:00:00;21;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 22:00:00;22;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-30 23:00:00;23;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-31 00:00:00;0;PM10;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 00:00:00;0;PM10;20,10000038;80000000;04:06;20,10000038;04:06;20,10000038;0;1;FALSE
Trapani;2015-08-31 01:00:00;1;PM10;20,5;80000000;04:06;20,5;04:06;20,5;0;1;FALSE
Trapani;2015-08-31 01:00:00;1;PM10;20,5;80000000;04:06;20,5;04:06;20,5;0;1;TRUE
Trapani;2015-08-31 02:00:00;2;PM10;20,5;80000000;04:06;20,5;04:06;20,5;0;1;FALSE
Trapani;2015-08-31 02:00:00;2;PM10;20,5;80000000;04:06;20,5;04:06;20,5;0;1;TRUE
Trapani;2015-08-31 03:00:00;3;PM10;20,5;80000000;04:06;20,5;04:06;20,5;0;1;FALSE
Trapani;2015-08-31 03:00:00;3;PM10;20,5;80000000;04:06;20,5;04:06;20,5;0;1;TRUE
