Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Trapani;2015-08-30 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
Trapani;2015-08-30 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
Trapani;2015-08-30 02:00:00;2;SO2;0;80400000;02:00;0;02:00;0;0;720;1;FALSE
Trapani;2015-08-30 03:00:00;3;SO2;0,00103836;80400000;03:00;0;02:34;0,24945586;0,0160686;720;1;FALSE
Trapani;2015-08-30 04:00:00;4;SO2;0,00380968;80400000;04:00;0;03:59;0,24945586;0,03059746;720;1;FALSE
Trapani;2015-08-30 05:00:00;5;SO2;0,00277133;80400000;05:00;0;04:25;0,24945586;0,02614809;720;1;FALSE
Trapani;2015-08-30 06:00:00;6;SO2;0;80400000;06:00;0;06:00;0;0;720;1;FALSE
Trapani;2015-08-30 07:00:00;7;SO2;0;80400000;07:00;0;07:00;0;0;720;1;FALSE
Trapani;2015-08-30 08:00:00;8;SO2;0;80400000;08:00;0;08:00;0;0;720;1;FALSE
Trapani;2015-08-30 09:00:00;9;SO2;0,00159771;80400000;09:00;0;08:27;0,9002067;0,03477733;720;1;FALSE
Trapani;2015-08-30 10:00:00;10;SO2;0;80400000;10:00;0;10:00;0;0;720;1;FALSE
Trapani;2015-08-30 11:00:00;11;SO2;0;80400000;11:00;0;11:00;0;0;720;1;FALSE
Trapani;2015-08-30 12:00:00;12;SO2;0;80400000;12:00;0;12:00;0;0;720;1;FALSE
Trapani;2015-08-30 13:00:00;13;SO2;0;80400000;13:00;0;13:00;0;0;720;1;FALSE
Trapani;2015-08-30 14:00:00;14;SO2;0;80400000;14:00;0;14:00;0;0;720;1;FALSE
Trapani;2015-08-30 15:00:00;15;SO2;0;80400000;15:00;0;15:00;0;0;720;1;FALSE
Trapani;2015-08-30 16:00:00;16;SO2;0;80400000;16:00;0;16:00;0;0;720;1;FALSE
Trapani;2015-08-30 17:00:00;17;SO2;0;80400000;17:00;0;17:00;0;0;720;1;FALSE
Trapani;2015-08-30 18:00:00;18;SO2;0,00564944;80400000;18:00;0;17:21;0,57482976;0,04045931;720;1;FALSE
Trapani;2015-08-30 19:00:00;19;SO2;0,00964116;80400000;19:00;0;18:24;0,57482976;0,06221498;720;1;FALSE
Trapani;2015-08-30 20:00:00;20;SO2;0;80400000;20:00;0;20:00;0;0;720;1;FALSE
Trapani;2015-08-30 21:00:00;21;SO2;0;80400000;21:00;0;21:00;0;0;720;1;FALSE
Trapani;2015-08-30 22:00:00;22;SO2;0;80400000;22:00;0;22:00;0;0;720;1;FALSE
Trapani;2015-08-30 23:00:00;23;SO2;0;80400000;23:00;0;23:00;0;0;720;1;FALSE
Trapani;2015-08-31 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
Trapani;2015-08-31 00:00:00;0;SO2;0;81400000;00:00;0;00:00;0;0;720;2;FALSE
Trapani;2015-08-31 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
Trapani;2015-08-31 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;2;TRUE
Trapani;2015-08-31 02:00:00;2;SO2;0,00056138;80400000;02:00;0;01:46;0,13461114;0,00868213;718;2;FALSE
Trapani;2015-08-31 02:00:00;2;SO2;0,00056138;80400000;02:00;0;01:46;0,13461114;0,00868213;718;2;TRUE
Trapani;2015-08-31 03:00:00;3;SO2;0,00164551;80400000;03:00;0;02:16;0,78073768;0,03032084;720;2;FALSE
Trapani;2015-08-31 03:00:00;3;SO2;0,00164551;80400000;03:00;0;02:16;0,78073768;0,03032084;720;2;TRUE
Trapani;2015-08-31 04:00:00;4;SO2;0,00186925;80400000;04:00;0;03:52;0,13461114;0,01575435;720;2;FALSE
Trapani;2015-08-31 04:00:00;4;SO2;0,00186925;80400000;04:00;0;03:52;0,13461114;0,01575435;720;2;TRUE
Trapani;2015-08-31 05:00:00;5;SO2;0,00168314;80400000;05:00;0;04:54;0,13461114;0,01495499;720;2;FALSE
Trapani;2015-08-31 05:00:00;5;SO2;0,00168314;80400000;05:00;0;04:54;0,13461114;0,01495499;720;2;TRUE
Trapani;2015-08-31 06:00:00;6;SO2;0,00149601;80400000;06:00;0;05:24;0,13461114;0,01411088;720;2;FALSE
Trapani;2015-08-31 06:00:00;6;SO2;0,00149601;80400000;06:00;0;05:24;0,13461114;0,01411088;720;2;TRUE
Trapani;2015-08-31 07:00:00;7;SO2;0,02393103;80400000;07:00;0;06:57;1,4268632;0,13240425;720;2;FALSE
Trapani;2015-08-31 07:00:00;7;SO2;0,02393103;80400000;07:00;0;06:57;1,4268632;0,13240425;720;2;TRUE
Trapani;2015-08-31 08:00:00;8;SO2;0,07482171;80400000;08:00;0;07:01;1,10380095;0,18483873;720;2;FALSE
Trapani;2015-08-31 08:00:00;8;SO2;0,07482171;80400000;08:00;0;07:01;1,10380095;0,18483873;720;2;TRUE
Trapani;2015-08-31 09:00:00;9;SO2;0,02864279;80400000;09:00;0;08:30;1,4268632;0,13399077;720;2;FALSE
Trapani;2015-08-31 09:00:00;9;SO2;0,02864279;80400000;09:00;0;08:30;1,4268632;0,13399077;720;2;TRUE
Trapani;2015-08-31 10:00:00;10;SO2;0,00489889;80400000;10:00;0;09:08;0,78073768;0,03926129;720;2;FALSE
Trapani;2015-08-31 10:00:00;10;SO2;0,00489889;80400000;10:00;0;09:08;0,78073768;0,03926129;720;2;TRUE
Trapani;2015-08-31 11:00:00;11;SO2;0;80400000;11:00;0;11:00;0;0;720;2;FALSE
Trapani;2015-08-31 11:00:00;11;SO2;0;80400000;11:00;0;11:00;0;0;720;2;TRUE
Trapani;2015-08-31 12:00:00;12;SO2;0;80400000;12:00;0;12:00;0;0;720;2;FALSE
Trapani;2015-08-31 12:00:00;12;SO2;0;80400000;12:00;0;12:00;0;0;720;2;TRUE
Trapani;2015-08-31 13:00:00;13;SO2;0;80400000;13:00;0;13:00;0;0;720;2;FALSE
Trapani;2015-08-31 13:00:00;13;SO2;0;80400000;13:00;0;13:00;0;0;720;2;TRUE
Trapani;2015-08-31 14:00:00;14;SO2;0;80400000;14:00;0;14:00;0;0;720;2;FALSE
Trapani;2015-08-31 14:00:00;14;SO2;0;80400000;14:00;0;14:00;0;0;720;2;TRUE
Trapani;2015-08-31 15:00:00;15;SO2;0;80400000;15:00;0;15:00;0;0;720;2;FALSE
Trapani;2015-08-31 15:00:00;15;SO2;0;80400000;15:00;0;15:00;0;0;720;2;TRUE
Trapani;2015-08-31 16:00:00;16;SO2;0;80400000;16:00;0;16:00;0;0;720;2;FALSE
Trapani;2015-08-31 16:00:00;16;SO2;0;80400000;16:00;0;16:00;0;0;720;2;TRUE
Trapani;2015-08-31 17:00:00;17;SO2;0;80400000;17:00;0;17:00;0;0;720;2;FALSE
Trapani;2015-08-31 17:00:00;17;SO2;0;80400000;17:00;0;17:00;0;0;720;2;TRUE
Trapani;2015-08-31 18:00:00;18;SO2;0;80400000;18:00;0;18:00;0;0;720;2;FALSE
Trapani;2015-08-31 18:00:00;18;SO2;0;80400000;18:00;0;18:00;0;0;720;2;TRUE
Trapani;2015-08-31 19:00:00;19;SO2;0,00389003;80400000;19:00;0;18:11;0,45767441;0,03031575;720;2;FALSE
Trapani;2015-08-31 19:00:00;19;SO2;0,00389003;80400000;19:00;0;18:11;0,45767441;0,03031575;720;2;TRUE
Trapani;2015-08-31 20:00:00;20;SO2;0,00149601;80400000;20:00;0;19:55;0,13461114;0,01411088;720;2;FALSE
Trapani;2015-08-31 20:00:00;20;SO2;0,00149601;80400000;20:00;0;19:55;0,13461114;0,01411088;720;2;TRUE
Trapani;2015-08-31 21:00:00;21;SO2;0,00018611;80400000;21:00;0;20:40;0,13461114;0,00501381;720;2;FALSE
Trapani;2015-08-31 21:00:00;21;SO2;0,00018611;80400000;21:00;0;20:40;0,13461114;0,00501381;720;2;TRUE
Trapani;2015-08-31 22:00:00;22;SO2;0,00093462;80400000;22:00;0;21:49;0,13461114;0,01117683;720;2;FALSE
Trapani;2015-08-31 22:00:00;22;SO2;0,00093462;80400000;22:00;0;21:49;0,13461114;0,01117683;720;2;TRUE
Trapani;2015-08-31 23:00:00;23;SO2;0,00018611;80400000;23:00;0;22:28;0,13461114;0,00501381;720;2;FALSE
Trapani;2015-08-31 23:00:00;23;SO2;0,00018611;80400000;23:00;0;22:28;0,13461114;0,00501381;720;2;TRUE
Trapani;2015-09-01 00:00:00;0;SO2;0;81400000;00:00;0;00:00;0;0;720;3;FALSE
Trapani;2015-09-01 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;3;FALSE
Trapani;2015-09-01 00:00:00;0;SO2;0;81400000;00:00;0;00:00;0;0;720;3;TRUE
Trapani;2015-09-01 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
Trapani;2015-09-01 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;2;TRUE
Trapani;2015-09-01 02:00:00;2;SO2;6,611e-05;80400000;02:00;0;01:04;0,04820987;0,00179501;720;2;FALSE
Trapani;2015-09-01 02:00:00;2;SO2;6,611e-05;80400000;02:00;0;01:04;0,04820987;0,00179501;720;2;TRUE
Trapani;2015-09-01 03:00:00;3;SO2;0,00033561;80400000;03:00;0;02:12;0,04820987;0,00400393;720;2;FALSE
Trapani;2015-09-01 03:00:00;3;SO2;0,00033561;80400000;03:00;0;02:12;0,04820987;0,00400393;720;2;TRUE
Trapani;2015-09-01 04:00:00;4;SO2;0,00019933;80400000;04:00;0;03:44;0,04820987;0,0031049;720;2;FALSE
Trapani;2015-09-01 04:00:00;4;SO2;0,00019933;80400000;04:00;0;03:44;0,04820987;0,0031049;720;2;TRUE
Trapani;2015-09-01 05:00:00;5;SO2;0,00100378;80400000;05:00;0;04:52;0,04820987;0,00688509;720;2;FALSE
Trapani;2015-09-01 05:00:00;5;SO2;0,00100378;80400000;05:00;0;04:52;0,04820987;0,00688509;720;2;TRUE
Trapani;2015-09-01 06:00:00;6;SO2;0,00087055;80400000;06:00;0;05:21;0,04820987;0,0064193;720;2;FALSE
Trapani;2015-09-01 06:00:00;6;SO2;0,00087055;80400000;06:00;0;05:21;0,04820987;0,0064193;720;2;TRUE
Trapani;2015-09-01 07:00:00;7;SO2;0;80400000;07:00;0;07:00;0;0;720;2;FALSE
Trapani;2015-09-01 07:00:00;7;SO2;0;80400000;07:00;0;07:00;0;0;720;2;TRUE
Trapani;2015-09-01 08:00:00;8;SO2;0;80400000;08:00;0;08:00;0;0;720;2;FALSE
Trapani;2015-09-01 08:00:00;8;SO2;0;80400000;08:00;0;08:00;0;0;720;2;TRUE
Trapani;2015-09-01 09:00:00;9;SO2;0;80400000;09:00;0;09:00;0;0;720;2;FALSE
Trapani;2015-09-01 09:00:00;9;SO2;0;80400000;09:00;0;09:00;0;0;720;2;TRUE
Trapani;2015-09-01 10:00:00;10;SO2;0;80400000;10:00;0;10:00;0;0;720;2;FALSE
Trapani;2015-09-01 10:00:00;10;SO2;0;80400000;10:00;0;10:00;0;0;720;2;TRUE
Trapani;2015-09-01 11:00:00;11;SO2;0;80400000;11:00;0;11:00;0;0;720;2;FALSE
Trapani;2015-09-01 11:00:00;11;SO2;0;80400000;11:00;0;11:00;0;0;720;2;TRUE
Trapani;2015-09-01 12:00:00;12;SO2;0;80400000;12:00;0;12:00;0;0;720;2;FALSE
Trapani;2015-09-01 12:00:00;12;SO2;0;80400000;12:00;0;12:00;0;0;720;2;TRUE
