Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
VILLA AUGUSTA;2015-08-31 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
VILLA AUGUSTA;2015-08-31 00:00:00;0;Benzene;1,41844244;80000000;23:45;0;00:00;5,94181335;2,46596567;720;2;FALSE
VILLA AUGUSTA;2015-08-31 01:00:00;1;Benzene;2,38233572;80000000;01:00;0;00:14;5,94181335;2,50837965;720;2;FALSE
VILLA AUGUSTA;2015-08-31 01:00:00;1;Benzene;2,38233572;80000000;01:00;0;00:14;5,94181335;2,50837965;720;2;TRUE
VILLA AUGUSTA;2015-08-31 02:00:00;2;Benzene;2,10615412;80000000;01:29;0;01:58;4,11965648;2,03748323;720;2;FALSE
VILLA AUGUSTA;2015-08-31 02:00:00;2;Benzene;2,10615412;80000000;01:29;0;01:58;4,11965648;2,03748323;720;2;TRUE
VILLA AUGUSTA;2015-08-31 03:00:00;3;Benzene;1,793988;80000000;03:00;0;02:13;3,88198358;1,89736198;720;2;FALSE
VILLA AUGUSTA;2015-08-31 03:00:00;3;Benzene;1,793988;80000000;03:00;0;02:13;3,88198358;1,89736198;720;2;TRUE
VILLA AUGUSTA;2015-08-31 04:00:00;4;Benzene;1,54047024;80000000;03:27;0;03:42;3,01051933;1,43150072;720;2;FALSE
VILLA AUGUSTA;2015-08-31 04:00:00;4;Benzene;1,54047024;80000000;03:27;0;03:42;3,01051933;1,43150072;720;2;TRUE
VILLA AUGUSTA;2015-08-31 05:00:00;5;Benzene;0,46169969;80000000;05:00;0;04:12;2,29750267;0,91559595;720;2;FALSE
VILLA AUGUSTA;2015-08-31 05:00:00;5;Benzene;0,46169969;80000000;05:00;0;04:12;2,29750267;0,91559595;720;2;TRUE
VILLA AUGUSTA;2015-08-31 06:00:00;6;Benzene;0;80000000;06:00;0;06:00;0;0;720;2;FALSE
VILLA AUGUSTA;2015-08-31 06:00:00;6;Benzene;0;80000000;06:00;0;06:00;0;0;720;2;TRUE
VILLA AUGUSTA;2015-08-31 07:00:00;7;Benzene;0,91581053;80000000;06:40;0;06:55;3,16896692;1,36872742;720;2;FALSE
VILLA AUGUSTA;2015-08-31 07:00:00;7;Benzene;0,91581053;80000000;06:40;0;06:55;3,16896692;1,36872742;720;2;TRUE
VILLA AUGUSTA;2015-08-31 08:00:00;8;Benzene;0,76583253;80000000;08:00;0;07:25;1,90138218;0,90525001;720;2;FALSE
VILLA AUGUSTA;2015-08-31 08:00:00;8;Benzene;0,76583253;80000000;08:00;0;07:25;1,90138218;0,90525001;720;2;TRUE
VILLA AUGUSTA;2015-08-31 09:00:00;9;Benzene;2,74462468;80000000;09:00;0;08:39;6,41715813;2,75969764;699;2;FALSE
VILLA AUGUSTA;2015-08-31 09:00:00;9;Benzene;2,74462468;80000000;09:00;0;08:39;6,41715813;2,75969764;699;2;TRUE
