Intestazione_1,Intestazione_2,unita_misura,nome_campo_output
partinico SO2(µg/m3)-2014,Max orario,(µg/m3),partinico_SO2_Max_orario
partinico SO2 (µg/m3) - 2014,Media 24 h,(µg/m3),partinico_SO2_Media_24_h
partinico CO(mg/m3) - 2014,Max orario,(mg/m3),partinico_CO_Max_orario
 partinico CO(mg/m3) -2014 ,Max media 8h,(mg/m3),partinico_CO_Max_media_8h
partinico NO2 (µg/m3) -2014,Max orario,(µg/m3),partinico_NO2_Max_orario
partinico O3 (µg/m3) -2014,Max orario,(µg/m3),partinico_O3_Max_orario
partinico O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),partinico_O3_Max_media_8h
partinico PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),partinico_PM10_Media_24_h
partinico Benzene (µg/m3) -2014,Max orario,(µg/m3),partinico_Benzene_Max_orario
partinico PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),partinico_PM2.5_Media_24_h
sasol SO2(µg/m3)-2014,Max orario,(µg/m3),sasol_SO2_Max_orario
sasol SO2 (µg/m3) - 2014,Media 24 h,(µg/m3),sasol_SO2_Media_24_h
sasol CO(mg/m3) - 2014,Max orario,(mg/m3),sasol_CO_Max_orario
 sasol CO(mg/m3) -2014 ,Max media 8h,(mg/m3),sasol_CO_Max_media_8h
sasol NO2 (µg/m3) -2014,Max orario,(µg/m3),sasol_NO2_Max_orario
sasol O3 (µg/m3) -2014,Max orario,(µg/m3),sasol_O3_Max_orario
sasol O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),sasol_O3_Max_media_8h
sasol PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),sasol_PM10_Media_24_h
sasol Benzene (µg/m3) -2014,Max orario,(µg/m3),sasol_Benzene_Max_orario
sasol PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),sasol_PM2.5_Media_24_h
enna SO2(µg/m3)-2014,Max orario,(µg/m3),enna_SO2_Max_orario
enna SO2 (µg/m3) - 2014,Media 24 h,(µg/m3),enna_SO2_Media_24_h
enna CO(mg/m3) - 2014,Max orario,(mg/m3),enna_CO_Max_orario
 enna CO(mg/m3) -2014 ,Max media 8h,(mg/m3),enna_CO_Max_media_8h
enna NO2 (µg/m3) -2014,Max orario,(µg/m3),enna_NO2_Max_orario
enna O3 (µg/m3) -2014,Max orario,(µg/m3),enna_O3_Max_orario
enna O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),enna_O3_Max_media_8h
enna PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),enna_PM10_Media_24_h
enna Benzene (µg/m3) -2014,Max orario,(µg/m3),enna_Benzene_Max_orario
enna PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),enna_PM2.5_Media_24_h
ex_autoparco SO2(µg/m3)-2014,Max orario,(µg/m3),ex_autoparco_SO2_Max_orario
